Stats snapshot for 2026-04-29
Compared to: 2026-04-28

TITLE                                                              V   +24h    /day    L   C     STATUS
----------------------------------------------------------------------------------------------------
Mike vs Tom: Daily coffee habit vs making coffee at home | M       4      —     4.0    0   0     public
Sarah vs Helen: Why time matters more than amount when savin       3      —     3.0    0   0    private
$4,000 📈🚀 Alex vs Riley | Money Crew #shorts                       1      —     1.0    0   0    private
$2,400 a Year on APPS He NEVER Opened 😱💸 Tony vs Vince | Mon       0      —     0.0    0   0     public
She Saved $500 by Age 11 💰🐷 Ava vs Bea | Money Crew #shorts        0      —     0.0    0   0    private
Alex vs Riley: Index funds vs picking individual stocks | Mo       0      —     0.0    0   0    private
Zoe vs Eva: How to make your allowance last all week | Money       0      —     0.0    0   0    private
Mark vs Sam: The 24 hour rule for impulse buying | Money Cre       0      —     0.0    0   0    private
Anna vs Ben: Why starting saving at 20 beats starting at 40        0      —     0.0    0   0    private
Jay vs Kim: Investing one thousand dollars at age 16 vs spen       0      —     0.0    0   0    private
Lily vs Mia: How two kids spent their allowance | Money Crew       0      —     0.0    0   0    private
